,PageID,PageName,Disclaimer,AmountSpent,Numberofads
1,39435457457,Greenpeace France,Greenpeace France,979186,3187
11,173159234432,UNICEF France,UNICEF France,344846,820
12,335868279790722,CIWF France,CIWF France,325268,544
13,265420476920,Médecins du Monde France,Médecins du Monde France,290273,7259
22,14053295787,Oxfam France,Oxfam France,216235,4767
23,103355385129734,The Climate Pledge,The Climate Pledge,208429,20
24,9025047571,Amnesty International France,Amnesty International France,205825,2367
28,154912951193067,Médecins Sans Frontières / MSF,Médecins Sans Frontières,160342,4316
49,114676815236667,AIDES,AIDES,104144,855
90,152835304742765,Les Petits Frères des Pauvres,Les Petits Frères des Pauvres,67116,212
108,213536435417677,Fondation de France,Fondation de France,57147,730
128,271026783614,Fondation ARC pour la recherche sur le cancer,Fondation ARC pour la recherche sur le cancer,44366,1389
130,194934737335658,foodwatch France,foodwatch France,43821,275
136,413401852112275,La Mie de Pain,LA MIE DE PAIN,40353,137
140,265420476920,Médecins du Monde France,These ads ran without a disclaimer,39095,912
147,278641698813937,Fondation Raoul Follereau,Fondation Raoul Follereau,37611,1510
149,168901966533877,Institut Montaigne,Institut Montaigne,37248,349
159,101686454955935,Mes Soutiens - Médecins du Monde,Médecins du Monde France,35699,1009
161,39435457457,Greenpeace France,These ads ran without a disclaimer,35396,58
166,120780477955028,Secours populaire,Secours populaire,34409,39
173,54309785742,Fondation pour la Nature et l'Homme,Fondation pour la Nature et l'Homme,33777,474
183,137102989708866,Fondation Jérôme Lejeune,Fondation Jérôme Lejeune,31605,620
186,220098248063927,Samusocial de Paris,Samusocial de Paris,30191,151
199,35366632548,CFDT,CFDT,27118,361
248,9547656123,Croix-Rouge française,Croix-Rouge française,20259,611
261,350866824756,L214 Ethique et Animaux,L214 Ethique et Animaux,19196,29
264,109338787407392,Action Ecologie,These ads ran without a disclaimer,18948,37
287,101559219152,Fondation Tara Océan,Fondation Tara Océan,17072,336
303,129880077025416,Reforest'Action,Reforest'Action,15865,2057
310,26907085049,Scouts et Guides de France,Scouts et Guides de France,15444,19
327,677902065668703,Fondation des Femmes,Fondation des Femmes,14127,98
335,335868279790722,CIWF France,These ads ran without a disclaimer,13654,24
345,213536435417677,Fondation de France,These ads ran without a disclaimer,12971,8
352,544425445579374,L'Œuvre d'Orient,L'Œuvre d'Orient,12335,82
366,1425399957709691,Alternatiba Paris,Alternatiba Paris,11761,56
387,114676815236667,AIDES,These ads ran without a disclaimer,10829,45
391,110064245738385,UNSA,These ads ran without a disclaimer,10692,19
397,660605300621460,Fondation Brigitte Bardot,These ads ran without a disclaimer,10389,6
