,PageID,PageName,Disclaimer,AmountSpent,Numberofads
48,1815507421886752,Les primes énergie FR,Eco home,104441,1016
94,1815507421886752,Les primes énergie FR,Primes Energetiques,63696,880
107,279472026328475,Pompe A Chaleur Aides.com,LA PLATEFORME DU LEAD,57901,147
114,417997281579542,OnSexprime.fr,Santé Publique France,52646,16
121,323114175072803,Pompe à Chaleur à 1€,These ads ran without a disclaimer,48219,19
205,200661534149151,Pompe à Chaleur,These ads ran without a disclaimer,25777,138
212,725197044249828,Loi Pinel,These ads ran without a disclaimer,25197,20
278,464568377211278,Pompes à Chaleur,LA PLATEFORME DU LEAD,17777,131
279,1148194178693675,Pompe à chaleur,These ads ran without a disclaimer,17752,118
313,2414434162121224,Ma Pompe à Chaleur,These ads ran without a disclaimer,15370,105
433,464568377211278,Pompes à Chaleur,These ads ran without a disclaimer,9190,57
436,103077734478949,Aide Energie - Pompe à chaleur,Aide-Energie,9116,55
460,435942673913152,Pompe a chaleur 2019,LA PLATEFORME DU LEAD,8314,108
556,103622651619548,Les meilleurs primes France,These ads ran without a disclaimer,6377,68
571,3156991180993066,Pompe A Chaleur Aide.com,These ads ran without a disclaimer,6151,24
647,308018479682782,Pompe à chaleur,These ads ran without a disclaimer,4976,27
694,450321622131778,Pompe à chaleur Économie d’Energie,These ads ran without a disclaimer,4524,1
800,104607970959004,PPAC Projet Pompe A Chaleur,Alain Ayuch Benaïm,3661,38
846,342337366623971,Pompe A Chaleur Prime,These ads ran without a disclaimer,3348,8
885,3156991180993066,Pompe A Chaleur Aide.com,LA PLATEFORME DU LEAD,3067,14
906,449328539153201,Eco primes,These ads ran without a disclaimer,2936,12
983,103858947728029,Pompe a chaleur economie,Joseph Jonathan Kahloun,2489,31
1166,101156624603468,Pompe à Chaleur Economie.Com,These ads ran without a disclaimer,1883,9
1237,101698671544778,Prime Pompe à Chaleur,These ads ran without a disclaimer,1679,83
1377,435942673913152,Pompe a chaleur 2019,These ads ran without a disclaimer,1394,15
1510,279472026328475,Pompe A Chaleur Aides.com,These ads ran without a disclaimer,1143,14
1548,2334602640128457,Ma Pompe A Chaleur Energie.com,These ads ran without a disclaimer,1090,14
1584,792507197796718,Pompe A Chaleur Energie.Com,These ads ran without a disclaimer,1032,3
1597,398686450716577,Pompe à Chaleur,These ads ran without a disclaimer,1015,12
1628,108559987218741,Pompe à Chaleur 1 €,LA PLATEFORME DU LEAD,988,16
1707,1401517659990712,G.A.E Pompes à Chaleur,These ads ran without a disclaimer,900,2
1718,107634060723463,Subventions Pompe à Chaleur,These ads ran without a disclaimer,885,2
1830,2276449339263499,Ma Pompe à Chaleur.fr,These ads ran without a disclaimer,778,23
1838,308018479682782,Pompe à chaleur,lespompesachaleur.com,772,10
2073,117308029656030,PPAC - Projet Pompe A Chaleur,These ads ran without a disclaimer,596,4
2180,637015663439052,Pompe A Chaleur Info.com,These ads ran without a disclaimer,529,10
2216,1693099564125751,Pompe a chaleur infos.com,These ads ran without a disclaimer,509,5
2259,100733348489098,Ma Prime Pompe à Chaleur,These ads ran without a disclaimer,497,21
2264,1474150122623458,Loi Pinel Online,These ads ran without a disclaimer,494,19
2517,104008697719719,VPAC - Votre Pompe A Chaleur,Alain Benaim,386,17
2583,156250078142362,Imprimerie Ma Bonne Impression,Ma Bonne Impression,359,8
2973,111502050253150,Pompe à Chaleur à 1 €,LA PLATEFORME DU LEAD,259,13
3137,428810017888961,Éligibilité Pompe à chaleur 1€,These ads ran without a disclaimer,230,4
3198,108440368049150,Ma prime éco énergie,These ads ran without a disclaimer,220,2
3485,2351307505147338,Pompe à Chaleur - entreprise RGE,These ads ran without a disclaimer,181,19
3782,1048123882059839,HomEstima - Mes Impôts,These ads ran without a disclaimer,150,1
3813,110945577497987,Les Compagnons Français RGE Dans Votre Département - Pompe À Chaleur,These ads ran without a disclaimer,147,1
4128,"1,41E+15",Pompes Funebres Marchand,Bruno Jean Marie Marchand,120,1
4137,100218635088163,Fiscale.fr,Mikaël Julien Mallet,119,8
4170,1547340672155758,Loi Pinel Info,These ads ran without a disclaimer,117,12
4186,104624431795572,Votre Pompe à Chaleur,These ads ran without a disclaimer,115,2
4434,663579100449102,EG Imprimeur,These ads ran without a disclaimer,,2
4520,108608313938224,VPAC Votre Pompe A Chaleur,Alain Benaim,,3
4654,1815507421886752,Les primes énergie FR,These ads ran without a disclaimer,,7
4887,111146620547292,Expert Impôts,These ads ran without a disclaimer,,2
4928,871566623455829,Pompe à chaleur pour 1€,These ads ran without a disclaimer,,3
5136,196003483236,PrintOclock Imprimerie en ligne,These ads ran without a disclaimer,,1
5790,2379973888930378,Cadres Impôts,These ads ran without a disclaimer,,1
6016,110000710738808,Economie Pompe à Chaleur,These ads ran without a disclaimer,,1
6893,982765811920407,Investissement Loi Pinel,These ads ran without a disclaimer,,2
6899,315083479424618,Les aides et la prime chauffage 2019,These ads ran without a disclaimer,,1
7126,1079304142089823,Éric primeur,These ads ran without a disclaimer,,2
8669,109217627622965,Mes primes énergies,These ads ran without a disclaimer,,1
