,PageID,PageName,Disclaimer,AmountSpent,Numberofads
47,328227120690505,Ministère du Travail,Ministère du Travail,104533,41
131,103146727990,Ministère de l'Intérieur,Ministère de l'Intérieur,42583,11
311,127027683999474,Ministère des Armées,Ministère des Armées,15432,10
326,158609180861860,Ministère de la Transition écologique,These ads ran without a disclaimer,14172,2
402,119095054839458,"Ministère de l’Education nationale, de la Jeunesse et des Sports","Ministère de l’Education nationale, de la Jeunesse et des Sports",10299,3
624,328227120690505,Ministère du Travail,These ads ran without a disclaimer,5137,6
835,196708717010864,Ministère de la Justice,These ads ran without a disclaimer,3422,10
1080,158609180861860,Ministère de la Transition écologique,Chloé Delaporte,2103,3
1217,341942132652310,Ministère des solidarités et de la santé,These ads ran without a disclaimer,1724,15
2144,105063419566358,Ministère des Sports,These ads ran without a disclaimer,548,1
3306,119095054839458,"Ministère de l’Education nationale, de la Jeunesse et des Sports",These ads ran without a disclaimer,203,1
3870,129336593781059,Ministère de l'Agriculture et de l'Alimentation,These ads ran without a disclaimer,140,1
5897,124731255890895,Ministère de la Digitalisation Luxembourg,These ads ran without a disclaimer,,1
11516,182515489178270,Ministère de l'Égalité entre les femmes et les hommes - Luxembourg,These ads ran without a disclaimer,,1
15178,700101313362955,Ministère Délégué Chargé des MRE et des Affaires de la Migration,These ads ran without a disclaimer,,1
19153,1513101092049437,Ministère de l'Environnement - Congo-Brazzaville,These ads ran without a disclaimer,,1
21672,790247911048972,Ministère de l’Information et de la Communication Guinée,These ads ran without a disclaimer,,1
23682,444667489687617,Ministère auprès du Président de la République chargé Affaires Politiques,These ads ran without a disclaimer,,1
25623,1776368375748064,Ministère du Tourisme et des Loisirs Côte d'Ivoire,These ads ran without a disclaimer,,1
27568,182732632633980,Ministère Gennao,These ads ran without a disclaimer,,1
