,PageID,PageName,Disclaimer,AmountSpent,Numberofads
190,1598764970362891,Jordan Bardella,Jordan Bardella,29270,69
330,196429080701483,Jérôme Rivière,Jérôme Rivière,13991,72
351,123316887684644,Marine Le Pen,Rassemblement National,12376,150
483,373771849427538,Nicolas Bay,Nicolas Bay,7932,13
494,305982272814433,Jean Paul Garraud,Jean Paul Garraud,7774,35
509,1536553206605391,Jean-Lin Lacapelle,Jean-Lin Lacapelle,7581,72
550,123316887684644,Marine Le Pen,AFE MLP 2022,6618,39
564,123316887684644,Marine Le Pen,AFE MLP 2022,6239,108
568,212878422467758,Pierre Larrouturou,Pierre Larrouturou,6205,14
595,1030606370307693,Julie Lechanteux,Julie Lechanteux,5599,25
598,166568903398287,Jean-Christophe Cambadélis,Jean-Christophe Cambadélis,5544,57
656,361243920982960,Virginie Joron,Virginie Joron,4904,11
672,1960230264254661,Jean-Francois Cesarini,Jean-Francois Émile Cesarini,4731,99
748,1828719080762024,Hélène Laporte,Hélène Laporte,4090,13
814,917018808438868,Isaac-Sibille Député,Cyrille Marie Jean Isaac-Sibille,3553,49
909,120292721389667,Philippe Vardon,Philippe Vardon,2919,29
915,140870836830216,Catherine Griset,Catherine Griset,2880,7
920,267506846719855,Thomas Gassilloud,Matthieu Deglas,2851,67
927,115640363205428,Mathilde Androuët,Mathilde Androuët,2822,6
950,11450328749,Jean-Luc Mélenchon,La France insoumise,2679,2
975,125487850594,Laurent Wauquiez,Association nationale de soutien à l'action de Laurent Wauquiez,2541,12
1022,44112809106,Michel Barnier,Le Droit Chemin,2341,163
1039,2164326836917621,Julien Ravier,Julien Christian Ravier,2282,25
1076,426781830675670,Julien Leonardelli,Julien Leonardelli,2136,16
1098,1769963173315661,Damien Adam - Député de Seine-Maritime,Damien Kévin Michel Pascal Adam,2057,34
1257,112143057190953,Philippe Torre,Gallia Communication,1619,30
1295,642036589311215,François Ruffin,François Ruffin,1537,35
1339,1707551499522399,Stéphane Peu,Stéphane Peu,1445,27
1360,408206196020764,Bernard Deflesselles,Bernard Deflesselles,1422,34
1412,106206114122000,Philippe Olivier,Parlement européen,1315,3
1419,1986320954965037,Frank Buhler - Journal Politique - Patriosphère Infos,Frank Jean Marie Buhler,1306,50
1439,1776419859354673,"Pascal Bois, député de l'Oise",Pascal BOIS - Député de l'Oise,1266,136
1448,361243920982960,Virginie Joron,VIRGINIE JORON,1250,7
1467,101987021570101,Frank Buhler - Journal Politique,Franck Jean-Marie Buhler,1224,39
