,PageID,PageName,Disclaimer,AmountSpent,Numberofads
4,106626487721376,Amazon Europe,Amazon Europe,641550,47
5,314443337102,GRDF,GRDF,565328,235
7,480418118654568,E.Leclerc,E.Leclerc,393218,160
16,176105152520900,Carrefour,Carrefour,246167,639
25,1456586344652734,MAIF,MAIF,204392,1015
26,164302750336862,Wish,These ads ran without a disclaimer,187593,1
27,139331629464336,EDF,EDF,181516,115
34,123875660969932,ENGIE,ENGIE,134014,1470
45,163061217080336,Enedis,Enedis,110855,91
56,315718434933,Crédit Agricole,Crédit Agricole S.A.,92698,77
59,153342192259,Clarins,Clarins,91211,23
71,404427720023574,Extrême,Emilie Marie-Hélène Boisselle,79239,8
75,99340666617,Nettoyons la Nature,E.Leclerc,76745,10
77,100255681599847,Veolia France,Veolia,75605,573
78,610275735795477,Kinder Joy of moving,Ferrero France Commerciale,74878,4
93,170791994261,Audi France,Audi France,64497,3
101,631909843561408,Nespresso,Nespresso,59859,8
104,128829237956,easyJet,easyJet,58519,1
111,206816856023737,BIODERMA,BIODERMA,54480,131
126,1717696765155553,Veolia Eau d'Ile-de-France,These ads ran without a disclaimer,45038,5901
137,9328458887,adidas Originals,adidas France,39948,5
142,81753537108,TotalEnergies,TotalEnergies,38677,32
152,1717696765155553,Veolia Eau d'Ile-de-France,Veolia Eau d'Ile-de-France,36800,62
153,61952884477,Sarenza,Sarenza,36784,59
201,99340666617,Nettoyons la Nature,These ads ran without a disclaimer,26627,4
206,314443337102,GRDF,These ads ran without a disclaimer,25752,19
213,"2,18E+15",Saint-Gobain,COMPAGNIE DE SAINT-GOBAIN,25138,12
218,147048768660936,La Roche-Posay,La Roche-Posay,24416,11
219,105709216127942,Crédit Coopératif,Crédit Coopératif,24204,38
222,721787671263055,Banque Française Mutualiste,Banque Française Mutualiste,23517,74
242,299501810516,Ma Banque BNP Paribas,BNP Paribas,21163,12
247,100845797055125,LinkedIn,These ads ran without a disclaimer,20411,4
252,154999229992641,Groupe SNCF,These ads ran without a disclaimer,19887,1
270,1456586344652734,MAIF,These ads ran without a disclaimer,18433,11
277,366230539391,Intermarché,These ads ran without a disclaimer,17851,3
289,6797246895,Ralph Lauren,Ralph Lauren,16988,66
301,172759396078070,FDJ,FDJ,16203,41
302,265857076767399,Volvo Car France,Volvo Car France,16049,13
316,176105152520900,Carrefour,These ads ran without a disclaimer,14806,13
338,156922821011409,Timberland,PHD Media,13531,13
347,104392636306,BlaBlaCar,These ads ran without a disclaimer,12730,4
348,230438980660535,Uber Eats,These ads ran without a disclaimer,12726,1
349,123875660969932,ENGIE,These ads ran without a disclaimer,12618,58
358,139331629464336,EDF,These ads ran without a disclaimer,12081,20
364,106741389347601,Biocoop,These ads ran without a disclaimer,11801,6
373,297744124702,Mercedes-Benz France,Mercedes-Benz France,11515,5
381,249355235114951,Klorane France,Klorane France,11107,21
385,106741389347601,Biocoop,Biocoop,10976,9
388,103137082036088,Mon projet solaire en partenariat avec EDF ENR,Dolead,10820,43
411,886390848092524,TGV INOUI,These ads ran without a disclaimer,9970,2
424,148758255215603,TotalEnergies,These ads ran without a disclaimer,9529,13
435,131314320266898,Ricard,These ads ran without a disclaimer,9124,1
446,159713540726473,Primagaz France,Primagaz France,8663,156
487,209029512461378,U Les Commerçants,These ads ran without a disclaimer,7889,2
496,1621360578150794,Citroën PSA Retail,These ads ran without a disclaimer,7753,52
510,167550426627491,Nutella,These ads ran without a disclaimer,7528,3
511,320473692252,SUEZ France,SUEZ France,7508,17
535,24287259392,Nestlé,These ads ran without a disclaimer,6885,15
560,292120406564,SEAT,These ads ran without a disclaimer,6292,9
588,211577558892620,Groupama Centre Manche,These ads ran without a disclaimer,5696,2
594,101092033299680,Allianz France,Allianz France,5626,5
602,226707744012015,Kia France,These ads ran without a disclaimer,5480,5
603,897016170357398,Kellogg’s France,These ads ran without a disclaimer,5472,1
608,407666605532,Norauto France,These ads ran without a disclaimer,5337,41
658,103744558081062,GRDF Hauts-de-France et Normandie,GRDF,4852,42
679,362371534405251,Decathlon Activités,Decathlon Activités,4678,32
689,225199119413,Betclic,These ads ran without a disclaimer,4571,17
715,146613439195230,Michel-Edouard Leclerc,Michel-Edouard Leclerc,4318,123
730,542088289195054,Nestlé,Nestlé,4200,3
737,261378092727,Spotify,These ads ran without a disclaimer,4153,1
768,121388362246,Goldman Sachs,These ads ran without a disclaimer,3950,14
775,134036063437609,adidas,These ads ran without a disclaimer,3886,1
791,186691125128189,Air Liquide,Air Liquide,3754,40
807,525798194101383,Electrolux,Agathe Priol,3621,6
808,109919842425640,EDF ENR,These ads ran without a disclaimer,3605,15
810,222464404549841,Nexity,These ads ran without a disclaimer,3576,2
812,413646462004991,Mastercard,These ads ran without a disclaimer,3558,3
818,200918043252313,Fondation Orange,These ads ran without a disclaimer,3522,1
824,499580396772295,L'Oréal Group,L'Oréal Group,3491,5
838,294059997286152,Butagaz – Multi-énergies,Repeat Groupe,3400,11
842,159713540726473,Primagaz France,These ads ran without a disclaimer,3386,41
863,199607936774302,Bouygues Immobilier,These ads ran without a disclaimer,3194,2
868,495274900579805,Total,Total Marketing France,3154,34
870,170226609767630,AXA,AXA,3134,19
878,320473692252,SUEZ France,These ads ran without a disclaimer,3099,3
971,105438471258986,GRDF Auvergne-Rhône-Alpes et PACA,GRDF Sud-Est,2571,13
985,255364539268,Ruinart,These ads ran without a disclaimer,2486,2
1011,175192459166704,CIC,These ads ran without a disclaimer,2371,3
1027,103475618753518,Darty Remise FR,These ads ran without a disclaimer,2326,1
1038,172759396078070,FDJ,These ads ran without a disclaimer,2286,6
1049,539784956185869,ENGIE,These ads ran without a disclaimer,2235,5
1065,387656411682492,GRDF Est,Agence Tiz,2169,75
1074,159713540726473,Primagaz France,Primagaz,2137,8
1088,127906230603661,Cours Thalès,These ads ran without a disclaimer,2081,132
1089,6243987495,Spotify,These ads ran without a disclaimer,2080,9
1090,782314358541363,Natixis,Natixis,2078,12
1122,170852259598827,Orange,Orange,2000,1
1137,103105488570815,Priménergie Partenaire EDF Solution Habitat,These ads ran without a disclaimer,1957,14
1139,101059371856739,Butagaz Citerne,These ads ran without a disclaimer,1947,5
1172,200969413280005,Shell,These ads ran without a disclaimer,1864,4
1191,215138065124,Louis Vuitton,These ads ran without a disclaimer,1806,3
1229,106626487721376,Amazon Europe,These ads ran without a disclaimer,1690,2
1243,100487645501894,Soleco Énergie Partenaire EDF Solution Habitat,These ads ran without a disclaimer,1657,15
1244,209995772388611,Dyson,These ads ran without a disclaimer,1651,1
1245,1646394798839706,ENGIE Home Services,ENGIE,1650,18
1247,248767351880869,Sophos,These ads ran without a disclaimer,1647,6
1274,117659068321390,Naturalia,These ads ran without a disclaimer,1568,3
1334,782314358541363,Natixis,Loopsider,1450,2
1357,139331629464336,EDF,Explore Media,1425,3
1365,"2,04E+15",Disney+,These ads ran without a disclaimer,1416,1
1374,242855389116782,LinkedIn,These ads ran without a disclaimer,1396,2
1381,25744595715,Billabong,These ads ran without a disclaimer,1389,6
1382,499580396772295,L'Oréal Group,These ads ran without a disclaimer,1382,4
1404,155153417881348,EDF à la Réunion,These ads ran without a disclaimer,1336,1
1407,155318785394,Mango,These ads ran without a disclaimer,1332,2
1410,122695097770591,Decathlon France,These ads ran without a disclaimer,1320,2
1421,191035180963703,Huawei Enterprise,These ads ran without a disclaimer,1305,6
1436,518836564942104,CSEC EDF SA,CSEC EDF SA,1270,18
1459,14752904657,Monabanq,These ads ran without a disclaimer,1233,1
1516,383107145214827,Deliveroo,These ads ran without a disclaimer,1129,3
1551,10150136746870526,Air France,These ads ran without a disclaimer,1088,2
1559,101890125359815,France Équipement Partenaire EDF Solution Habitat,These ads ran without a disclaimer,1076,9
1580,103137082036088,Mon projet solaire en partenariat avec EDF ENR,These ads ran without a disclaimer,1038,7
1601,294059997286152,Butagaz – Multi-énergies,These ads ran without a disclaimer,1012,9
1616,566508133498745,Klorane Botanical Foundation,These ads ran without a disclaimer,1000,1
1645,103744558081062,GRDF Hauts-de-France et Normandie,These ads ran without a disclaimer,969,9
1664,237680109630917,Sophos France,These ads ran without a disclaimer,950,4
1679,148041405251444,McDonald's France,These ads ran without a disclaimer,931,1
1681,121034228024606,Antargaz,These ads ran without a disclaimer,929,29
1702,102894051651182,Prim'Éco Partenaire EDF Solution Habitat,These ads ran without a disclaimer,904,8
1711,339290547886,ALAIN AFFLELOU OPTICIEN,These ads ran without a disclaimer,896,9
1730,273676492713326,Crédit Agricole Normandie-Seine,Crédit Agricole Normandie-Seine,870,6
1748,134758756537113,Orange,Orange,843,10
1821,185652704861747,Bosch Global,These ads ran without a disclaimer,783,20
1834,206816856023737,BIODERMA,These ads ran without a disclaimer,776,4
1923,844715165596106,Groupama,These ads ran without a disclaimer,695,6
1926,729726073874720,Randstad Candidat,These ads ran without a disclaimer,693,15
1942,171761749511522,Schneider Electric,These ads ran without a disclaimer,684,6
2018,1759934787662017,Badoit,These ads ran without a disclaimer,626,1
2045,101092033299680,Allianz France,These ads ran without a disclaimer,606,5
2089,86606191454,Monoprix,These ads ran without a disclaimer,581,1
2175,172950483859,Crédit Agricole en Bretagne,PBCM,531,5
2227,202087200209951,Groupama d'Oc,These ads ran without a disclaimer,501,11
2287,170226609767630,AXA,These ads ran without a disclaimer,480,3
2315,186691125128189,Air Liquide,These ads ran without a disclaimer,464,8
2394,115468271854984,Mustela France,These ads ran without a disclaimer,437,3
2403,1401788290040956,AXA,These ads ran without a disclaimer,433,4
2421,324826532457,Airbnb,These ads ran without a disclaimer,424,1
2429,211057262363783,IVECO,These ads ran without a disclaimer,421,2
2460,104207117629235,Prime Coup de Pouce EDF,energeo confort,407,20
2487,315718434933,Crédit Agricole,These ads ran without a disclaimer,397,4
2507,407666605532,Norauto France,Norauto France,390,12
2622,228266870940065,Discover AXA,Flora Davy,350,2
2645,128450347241247,BALENCIAGA,These ads ran without a disclaimer,343,1
2665,200951273268346,LOTO - FDJ,These ads ran without a disclaimer,337,1
2685,107448807514023,Thalès Santé,Thalès-Santé,330,2
2726,604950812848839,Crédit Agricole d'Ile de France,Crédit Agricole d'Ile de France,318,8
2831,128876393864352,Ligue 1 Uber Eats,These ads ran without a disclaimer,296,3
2964,105709216127942,Crédit Coopératif,These ads ran without a disclaimer,261,3
3079,121659634551741,Darty,These ads ran without a disclaimer,240,1
3090,265331380601809,Agence AXA Bertout Lecuyer,These ads ran without a disclaimer,238,5
3215,246847305421128,Crédit Agricole d'Aquitaine,These ads ran without a disclaimer,217,2
3545,1808243116057615,Amazon Prime Video,These ads ran without a disclaimer,176,2
3572,187891771259726,AXA,These ads ran without a disclaimer,174,4
3588,1931519480507541,Intermarché Marennes,François Edmond Lucien Brossard,172,24
3794,543845985671386,Groupama Loire Bretagne,Clémence Elodie Suzanne Champenois,149,5
3797,949438251766895,Biocoop Saveurs et Saisons,Harold Damien Tiberghien,149,1
3816,102566424429363,Les bons Amazon,Quentin Bernard Jean-Pierre Oudot,147,10
3879,176449902493387,Clarins,These ads ran without a disclaimer,140,1
3907,156922821011409,Timberland,These ads ran without a disclaimer,138,8
4022,476023229815243,Shell and Turtle,These ads ran without a disclaimer,128,6
4172,401494186713593,ENGIE Foundation,Niels Axel Lucas Heiligenstein,117,14
4383,167284276793006,Centre Commercial Carrefour Douai-Flers,These ads ran without a disclaimer,,2
