,PageID,PageName,Disclaimer,AmountSpent,Numberofads
76,116070051527,Mediapart,Mediapart,75879,6447
79,323618734452141,Brief.me,Brief.me,74761,58
172,"1,76E+15",Brut,Brut,33856,60
176,87337929751,C8,These ads ran without a disclaimer,33298,25
216,424922021243063,Loopsider,Loopsider,24693,143
223,144056732332683,CANAL+,These ads ran without a disclaimer,23450,28
285,"1,76E+15",Brut,These ads ran without a disclaimer,17099,47
318,246577183385,JDD,JDD,14672,80
439,383827521682613,Boulevard Voltaire,Boulevard Voltaire,9000,68
441,22036796848,Aufeminin,Chloé Delaporte,8919,125
471,9359316996,L'Express,These ads ran without a disclaimer,8103,34
488,147126052393,Libération,Libération,7878,84
529,62399341602,L'Usine Nouvelle,Infopro Digital,6959,64
534,424922021243063,Loopsider,Arnaud Pierre Luc Maillard,6896,108
563,511950318936347,METRO France,METRO France,6243,117
577,123674940994027,Revue Esprit,Revue Esprit,6048,115
648,246577183385,JDD,These ads ran without a disclaimer,4954,37
734,115142963196945,La Croix L'Hebdo,These ads ran without a disclaimer,4176,57
744,885626698252688,Brut nature FR,These ads ran without a disclaimer,4112,9
796,246577183385,JDD,Julien Ferras,3697,20
841,138207559575213,Yahoo Actualités,These ads ran without a disclaimer,3387,12
876,695669030493619,La Tribune Events,La Tribune,3112,35
900,147126052393,Libération,These ads ran without a disclaimer,2966,108
928,204045139612793,Journal du Net,CCM Benchmark Group,2816,7
979,1849142045325091,MediaNews,ELIXIS DIGITAL,2530,81
980,48894759275,Konbini,These ads ran without a disclaimer,2528,5
1063,95750947597,France 2,These ads ran without a disclaimer,2182,25
1120,18950434380,La Tribune,La Tribune,2000,15
1159,1849142045325091,MediaNews,These ads ran without a disclaimer,1893,93
1167,116070051527,Mediapart,These ads ran without a disclaimer,1878,107
1192,157760487571171,Juritravail,Juritravail,1806,43
1220,424922021243063,Loopsider,These ads ran without a disclaimer,1720,73
1259,194210463958714,INA,L'Institut National de l'Audiovisuel (INA),1612,7
1474,283494941784,Be Magazine,These ads ran without a disclaimer,1212,2
1504,104998529389,Lyonmag,These ads ran without a disclaimer,1158,5
1505,225248330547,Radio France,Radio France,1158,24
1610,127618220623894,CANAL+ Docs,These ads ran without a disclaimer,1003,6
1615,422256495276,M6,These ads ran without a disclaimer,1000,1
1622,633746319978236,Siècle Digital,These ads ran without a disclaimer,994,6
1674,413662619173814,AFP Factuel,These ads ran without a disclaimer,936,6
1769,369717525444,Marianne,These ads ran without a disclaimer,826,17
1772,142638581774,Le Républicain Lorrain,Le Républicain Lorrain,823,7
1786,225248330547,Radio France,These ads ran without a disclaimer,812,20
1831,323618734452141,Brief.me,These ads ran without a disclaimer,777,3
1832,458373427654782,francetv slash,These ads ran without a disclaimer,776,13
1870,76283417065,L'EQUIPE,These ads ran without a disclaimer,742,6
1913,307638701742,Santé Magazine,Uni-Médias,700,6
1939,34610502574,TF1,These ads ran without a disclaimer,685,1
2177,271219815470,La Dépêche du Midi,Vincent Olivier Yves Riom,530,29
2197,511950318936347,METRO France,These ads ran without a disclaimer,519,24
2238,270122530294,Ouest France,Ouest France,500,3
2369,598308690301670,Les Jours,These ads ran without a disclaimer,446,8
2548,18950434380,La Tribune,These ads ran without a disclaimer,373,29
2598,183518182558,Midi Libre,Vincent Olivier Yves Riom,356,17
2881,123674940994027,Revue Esprit,These ads ran without a disclaimer,281,19
3050,114183271965199,Technikart Magazine,Technikart Magazine,245,15
3055,695669030493619,La Tribune Events,These ads ran without a disclaimer,244,6
3127,267269485200,CANAL+ Cinéma,These ads ran without a disclaimer,232,1
3174,157760487571171,Juritravail,These ads ran without a disclaimer,224,2
3191,150379651691773,VINCI Autoroutes,These ads ran without a disclaimer,222,4
3648,62399341602,L'Usine Nouvelle,These ads ran without a disclaimer,164,6
3999,105433001916166,Brut.Adnetwork,These ads ran without a disclaimer,130,8
4389,109212735763257,La Tribune Montpellier,La Tribune,,1
4403,864205400283601,Fédération des Bikers de France 2022,These ads ran without a disclaimer,,1
4487,138251652896236,CANAL+ Réunion,These ads ran without a disclaimer,,4
4929,106680651751168,France 24/7,These ads ran without a disclaimer,,1
5172,2332623916976195,La Tribune de l'opposition de Villers-sur-mer,These ads ran without a disclaimer,,6
5236,1629990253744016,Brut UK,These ads ran without a disclaimer,,15
5776,134668763273846,le Comptoir d'AINAY,These ads ran without a disclaimer,,1
6502,114183271965199,Technikart Magazine,These ads ran without a disclaimer,,4
6830,1416781971877079,Essentiel Santé Magazine,These ads ran without a disclaimer,,1
7447,109212735763257,La Tribune Montpellier,These ads ran without a disclaimer,,1
7475,594768401029596,Courant démocrate Attayar France 2 - التيار الديمقراطي فرنسا 2,These ads ran without a disclaimer,,3
8329,658461381322515,Noureddine MEJAI  نورالدين المجعي  حركة الشعب    France 2,These ads ran without a disclaimer,,1
8446,140271812694287,CANAL+ Caraïbes,These ads ran without a disclaimer,,3
8785,1949192818537205,Mouvement 5 étoiles tunisien France 2 حزب حركة خمسة نجوم التونسي فرنسا,These ads ran without a disclaimer,,2
9428,112697786775291,الاتحاد الديمقراطي الاجتماعي - Union Démocratique et Sociale France 2,These ads ran without a disclaimer,,2
10306,1354272938052557,CANALBOX Antilles-Guyane,These ads ran without a disclaimer,,2
11283,154153357967780,M6 Video,These ads ran without a disclaimer,,4
11296,594768401029596,Courant démocrate Attayar France 2 - التيار الديمقراطي فرنسا 2,Anouar Benchahed,,1
11495,106162867991759,Marianne de la Ciotat,These ads ran without a disclaimer,,4
11652,596824327456635,Bilal Mister France 2021,These ads ran without a disclaimer,,3
12361,108271681046600,Amanda COSSU 3e Dauphine Miss Beauté Ile de France 2020/2021,These ads ran without a disclaimer,,1
13198,104945551937431,La Tribune sportive des panthères,These ads ran without a disclaimer,,1
15016,191632561426607,La Dépêche du Centre,These ads ran without a disclaimer,,1
15340,161689651054707,Brut nature,These ads ran without a disclaimer,,39
15617,307638701742,Santé Magazine,These ads ran without a disclaimer,,2
16414,163602801015805,Asso FINA,These ads ran without a disclaimer,,1
18798,101097384975592,Stop Police Brutality B.L.M,These ads ran without a disclaimer,,1
19161,156342394395083,Marianne Skjelbred Art,These ads ran without a disclaimer,,1
19779,133307854103,INA- Iliria News Agency,These ads ran without a disclaimer,,2
19872,263132347056967,BINA: The Jewish Movement for Social Change,These ads ran without a disclaimer,,1
21372,1184432711722285,Brut México,These ads ran without a disclaimer,,1
21408,450124065078668,INAD,These ads ran without a disclaimer,,1
23316,100431535171957,Idées Brutes,These ads ran without a disclaimer,,1
23480,173254003362613,WE ARE CHINA,These ads ran without a disclaimer,,4
23814,2019152781504185,Marianne Vey Paris,These ads ran without a disclaimer,,1
24706,107809550916956,La Tribune du Web,These ads ran without a disclaimer,,1
25450,100680484837375,TIA AINA organisation,These ads ran without a disclaimer,,2
26180,1691667177798461,Brut,These ads ran without a disclaimer,,17
26264,101978714536021,Tahiry NY RINA ho ben'ny tanànan' Antananarivo ofisialy,These ads ran without a disclaimer,,1
26295,1689853651249105,Paillet Marianne,These ads ran without a disclaimer,,1
26451,507685755916354,La Tribune des Pirates,These ads ran without a disclaimer,,1
27309,263561270718195,INANA - Inclusion & Art Network,These ads ran without a disclaimer,,1
28458,605545973301212,Brut España,These ads ran without a disclaimer,,1
