,PageID,PageName,Disclaimer,AmountSpent,Numberofads
283,51603470763,Europe Écologie-Les Verts,Adrien Aszerman,17296,344
324,21254500749,Rassemblement National,Rassemblement National,14287,746
518,186459878134648,PCF - Parti Communiste Français,PCF - Parti Communiste Français,7330,53
522,114128620230242,Front Populaire,Front Populaire,7179,16
527,114128620230242,Front Populaire,Michel Onfray,7037,88
636,543099962534877,En Marche,En Marche,5034,85
940,543099962534877,En Marche,La République En Marche !,2754,11
1078,131728280799594,PCF - Fédération de Seine-Maritime,Fédération de Seine-Maritime du Parti Communiste Français,2114,26
1203,400493910018513,UDI,UDI • Les Européens,1765,6
1271,114128620230242,Front Populaire,These ads ran without a disclaimer,1578,17
1283,1069338553235442,Socialistes Plaisance du Touch,These ads ran without a disclaimer,1555,19
1383,491997904321117,PCPF,Victoire Malki,1377,34
1693,175962852458209,"Libres, Républicains et Indépendants Île-de-France",These ads ran without a disclaimer,916,17
1780,128279417896052,Parti Radical Moselle,Michèle Jacqueline Cenzato Leucart,816,61
1841,400493910018513,UDI,These ads ran without a disclaimer,769,11
2064,584038091704223,PCF Mantes la Jolie,Marc Alain Jammet,600,6
2306,1977859579096355,Les députés LaREM,These ads ran without a disclaimer,469,1
2345,285970001429566,Sénateurs Communistes Républicains Citoyens et Écologistes,Groupe CRCE au Sénat,453,4
2361,120753977943486,les Républicains,les Républicains,450,2
2477,1977859579096355,Les députés LaREM,Les députés LaREM,400,2
2525,1377542405901763,PCF Seine-Saint-Denis,Fédération PCF Seine-Saint-Denis,384,7
2757,135252840436302,PCF Val d'Yerres - Val de Seine,Philippe De Maistre,308,8
2767,900931263376043,Transition Écologique En Marche,En marche,306,3
2805,120753977943486,les Républicains,These ads ran without a disclaimer,300,2
2923,164529103573433,Rassemblement National 76,Nicolas Goury,270,5
3007,105723294471392,Le Pré En Marche,Alex Fouché-Monpert,251,13
3207,71144068956,Parti Socialiste,Parti Socialiste,218,7
3316,1519866841624369,Nanterre PCF,PCF Nanterre,202,5
3418,1519866841624369,Nanterre PCF,Hugo Pompougnac,193,11
3611,103332587721534,Républicains à Saint-Raphaël,These ads ran without a disclaimer,169,1
3649,128279417896052,Parti Radical Moselle,These ads ran without a disclaimer,163,24
3809,247522811982633,Rassemblement National 62,Rassemblement National 62,148,1
3843,491997904321117,PCPF,These ads ran without a disclaimer,143,8
3906,1410259935872953,Rassemblement National Dunkerque Flandre Maritime,These ads ran without a disclaimer,138,1
3940,71144068956,Parti Socialiste,These ads ran without a disclaimer,134,2
4196,1453947328007819,Rassemblement National Les Pennes Mirabeau,Maximilien Fusone,114,5
4236,51603470763,Europe Écologie-Les Verts,These ads ran without a disclaimer,111,4
4503,846245495388360,Le Rassemblement - les Républicains,These ads ran without a disclaimer,,4
4507,327608390946365,Rassemblement National 13,These ads ran without a disclaimer,,1
4512,574733572701454,PCF Beaujolais,These ads ran without a disclaimer,,5
5016,735401093308419,Rassemblement National Guyane,These ads ran without a disclaimer,,1
5175,487834654583214,UDI Jeunes,These ads ran without a disclaimer,,2
5305,164529103573433,Rassemblement National 76,These ads ran without a disclaimer,,3
5323,636573310111315,En Marche pour Emmanuel Macron,These ads ran without a disclaimer,,3
5532,100163188782370,LR - Républicains  Guyane,Stéphane Augustin,,4
5636,926246484082109,PCF Calvados,Lilian Kevin Bellet,,2
5651,"1,64E+15",Rassemblement National 36,These ads ran without a disclaimer,,1
5884,1790362751110291,Rassemblement National Haute-Vienne 87,These ads ran without a disclaimer,,5
6009,184087454966603,PCF Nord Essonne,These ads ran without a disclaimer,,1
6145,1334534999964464,Activité des députés LREM de Haute-Savoie,These ads ran without a disclaimer,,5
