,PageID,PageName,Disclaimer,AmountSpent,Numberofads
30,381564575243650,Région Auvergne-Rhône-Alpes,Région Auvergne-Rhône-Alpes,148501,54
62,884445694984443,La Région Occitanie / Pyrénées-Méditerranée,La Région Occitanie / Pyrénées-Méditerranée,88132,107
284,1660212684250205,Région Bourgogne-Franche-Comté,Région Bourgogne-Franche-Comté,17270,13
336,1731162750449819,Région Nouvelle-Aquitaine,Région Nouvelle-Aquitaine,13568,11
480,1493741450926446,Région Grand Est,Romain Bichat,8000,1
554,159560914140984,Département des Bouches-du-Rhône,Département des Bouches-du-Rhône,6400,9
632,150561791679746,Département de la Gironde,Département de la Gironde,5087,28
675,150023275053270,Régions de France,Régions de France,4711,19
691,1443977562567001,Département de l'Aude,Département de l'Aude,4535,47
756,1517841968465016,Région Normandie,Région Normandie,4028,11
834,302107400408332,Maison de Ma Région - Perpignan,La Région Occitanie / Pyrénées-Méditerranée,3435,8
881,184288138295288,Département du Nord,Nord Mon Département,3097,8
884,381564575243650,Région Auvergne-Rhône-Alpes,These ads ran without a disclaimer,3076,8
908,1660212684250205,Région Bourgogne-Franche-Comté,Romain Bichat,2930,6
918,105135494426480,Région Investissements,These ads ran without a disclaimer,2862,6
946,169882349846,Département de Loire-Atlantique,Département de Loire-Atlantique,2698,25
967,2777273319011187,Maison de Ma Région - Tarbes,La Région Occitanie / Pyrénées-Méditerranée,2586,26
1007,1443381465794244,Maison de ma Région - Narbonne,La Région Occitanie / Pyrénées-Méditerranée,2397,6
1129,218342698182367,Département d'Ille-et-Vilaine,Département d'Ille-et-Vilaine,1980,9
1251,884445694984443,La Région Occitanie / Pyrénées-Méditerranée,These ads ran without a disclaimer,1645,9
1358,400177530045868,Département des Alpes-Maritimes,Département des Alpes-Maritimes,1423,15
1430,119860182751877,Maison de ma Région - Albi,La Région Occitanie / Pyrénées-Méditerranée,1294,5
1583,2580978148797613,Maison de ma Région - Foix,La Région Occitanie / Pyrénées-Méditerranée,1032,5
1635,1493741450926446,Région Grand Est,Région Grand Est,977,3
1791,111235183948368,Maison de ma Région - Castres,La Région Occitanie / Pyrénées-Méditerranée,807,4
