,PageID,PageName,Disclaimer,AmountSpent,Numberofads
498,211911282168656,Métropole Européenne de Lille,Lionel Leibmann,7715,26
537,146908632092802,Métropole de Lyon,Métropole de Lyon,6864,6
566,207251779638,Ville de Paris,Ville de Paris,6214,38
793,454423524626636,Ville de Lyon,These ads ran without a disclaimer,3719,36
1052,146908632092802,Métropole de Lyon,These ads ran without a disclaimer,2216,10
1289,207251779638,Ville de Paris,These ads ran without a disclaimer,1549,8
1340,146908632092802,Métropole de Lyon,Métropole du Grand Lyon,1445,4
1352,454423524626636,Ville de Lyon,Ville de Lyon,1430,9
1782,118615201806392,Nîmes Métropole,Nîmes Métropole,814,2
1883,473217629422606,Ville de Montpellier,Ville de Montpellier,734,5
1906,115950409308,Métropole du Grand Nancy,METROPOLE DU GRAND NANCY,713,1
1968,127901707229505,Ville de Croissy-sur-Seine,These ads ran without a disclaimer,660,7
2370,218812161488947,Ville de Nancy,These ads ran without a disclaimer,445,4
2521,142298592527638,Ville de Sanary-sur-Mer,Ville de Sanary-sur-Mer,385,5
2620,388742604509776,Ville de St Nicolas de Port,Ville de St Nicolas de Port,350,4
2799,300745217238686,Ville de Chevilly-Larue,Ville de Chevilly-Larue,300,1
3170,120738684619918,Ville de Saint-Denis de La Réunion,These ads ran without a disclaimer,225,5
3374,1419510361665461,Orléans Métropole,Orléans Métropole,200,4
3767,657076357830508,Club Marseille Métropole,These ads ran without a disclaimer,150,78
3872,492915394077290,Ville de Rueil Malmaison,These ads ran without a disclaimer,140,1
4419,453667918172117,100% citoyens - Métropole de Lyon - Région Aura,Participation Citoyenne,,10
4446,512345045594396,Ville de Saint-Genis-Laval,Ville de Saint-Genis-Laval,,5
4490,331634870333709,Ville de Loos,Ville de Loos,,1
4555,142298592527638,Ville de Sanary-sur-Mer,These ads ran without a disclaimer,,2
4769,255585387808947,Ville de Lille,These ads ran without a disclaimer,,1
4871,711928315593259,Ville de Tonnerre,These ads ran without a disclaimer,,1
5077,378414298876803,Ville de Villeurbanne,These ads ran without a disclaimer,,2
5101,269001186537448,Ville de Bourgoin-Jallieu,These ads ran without a disclaimer,,1
6350,181670811863472,Ville de Gennevilliers,These ads ran without a disclaimer,,2
6843,113039042040650,Ville de Saint-Sébastien,Ville de Saint-Sébastien-sur-Loire,,3
7140,103839944859738,Inventer la Métropole de demain,Inventer la Métropole de demain,,4
7373,1094356760577724,Tables & Toques - Lille Métropole,These ads ran without a disclaimer,,3
7507,220964741253244,Métropole de Grenoble,These ads ran without a disclaimer,,1
8269,653245518071281,Ville de Peymeinade-Groupe de l'opposition,These ads ran without a disclaimer,,1
9225,834897466529870,Ville de Pierre-Bénite,These ads ran without a disclaimer,,1
10734,272854216096365,Ville de Banyuls-sur-Mer,These ads ran without a disclaimer,,1
10898,1492194377742097,Aix-Marseille-Provence Métropole,These ads ran without a disclaimer,,1
11281,169513979860025,Tout savoir (Ville de Rivière-Salée),These ads ran without a disclaimer,,2
11847,1521020838124256,Ville de Saint-Raphaël,These ads ran without a disclaimer,,1
11929,116758243039120,Ville de Creutzwald - Opposition Politique,These ads ran without a disclaimer,,1
12090,100762998006734,Ville de Saint-Gobain,These ads ran without a disclaimer,,1
13176,246063278828584,Ville de Pirae,These ads ran without a disclaimer,,1
13220,1419510361665461,Orléans Métropole,These ads ran without a disclaimer,,1
14396,533418367023178,Ville de Neuilly-sur-Marne,These ads ran without a disclaimer,,1
14971,1552396908408755,Ville de Voiron,These ads ran without a disclaimer,,1
15034,681153552006141,Maison écocitoyenne Bordeaux Métropole,Maison écocitoyenne de Bordeaux,,1
15118,1623095897911893,Vert'libéraux de la Ville de Genève,These ads ran without a disclaimer,,1
15215,501044223371306,Ville de Saint-Grégoire,These ads ran without a disclaimer,,1
16773,259294827811373,The Backstage Métropole Nice Côte d'Azur,These ads ran without a disclaimer,,3
17433,103839944859738,Inventer la Métropole de demain,These ads ran without a disclaimer,,3
17489,310245612472587,Ville de Saint-Brès,These ads ran without a disclaimer,,1
19809,412797328817232,Ville de Changé 72,These ads ran without a disclaimer,,1
21915,100274515672303,Ville de Dzaoudzi-Labattoir,These ads ran without a disclaimer,,2
23743,293203640745449,Ville de Fontenay-sous-Bois,These ads ran without a disclaimer,,1
